RenewableProjectID,cdm,UNFCCC_ref_number,CapacitytotalMWe,STATE,DISTRICT,MANDAL,TOWN/VILLAGE
11649,0,,2.2,GUJARAT,GUJARAT,,GUJARAT
17915,0,,10.5,GUJARAT,GUJARAT,,GUJARAT
32689,0,,14.7,GUJARAT,GUJARAT,,GUJARAT
49552,0,,8.4,GUJARAT,GUJARAT,,GUJARAT
14723,0,,1.6,GUJARAT,AHMEDABAD,,JODHPUR
14727,0,,4,GUJARAT,AHMEDABAD,,JODHPUR
14724,0,,1.6,GUJARAT,AHMEDABAD,,AHMEDABAD
31281,0,,50.4,GUJARAT,AMRELI,,KOTADAPITHA
35635,1,,6.2,GUJARAT,AMRELI,,AMRELI
9192,1,,22.3,GUJARAT,BHAVNAGAR,,SANODAR
9192,1,,22.3,GUJARAT,BHAVNAGAR,,NAVADRA
9192,1,,22.3,GUJARAT,BHAVNAGAR,,PATELKA
9192,1,,22.3,GUJARAT,BHAVNAGAR,,BHOGAT
9240,1,1456,5,GUJARAT,BHAVNAGAR,,TRAMBAK
9240,1,1456,5,GUJARAT,BHAVNAGAR,, TRAMBAK
17987,0,,2.5,GUJARAT,BHAVNAGAR,,SANODAR
24075,1,8792,8.45,GUJARAT,BHAVNAGAR,ANJAR,MINDIYALI
24075,1,8792,8.45,GUJARAT,BHAVNAGAR,ANJAR,MANABA
39888,0,,30,GUJARAT,BHAVNAGAR,,KOTIYA
37970,0,,14.45,GUJARAT,JAMNAGAR,,MOTA GUNDA
9192,1,,22.3,GUJARAT,JAMNAGAR,,SANODAR
9192,1,,22.3,GUJARAT,JAMNAGAR,,NAVADRA
9192,1,,22.3,GUJARAT,JAMNAGAR,,PATELKA
9192,1,,22.3,GUJARAT,JAMNAGAR,, BHOGAT 
9215,1,,26.25,GUJARAT,JAMNAGAR,,CHANGDAI 
9215,1,,26.25,GUJARAT,JAMNAGAR,, LAMBA
9239,1,,6.95,GUJARAT,JAMNAGAR,,LAMBA
9239,1,,6.95,GUJARAT,JAMNAGAR,,KURANGA
9239,1,,6.95,GUJARAT,JAMNAGAR,,SATAPUR
9239,1,,6.95,GUJARAT,JAMNAGAR,,MOTISINDHODI 
12943,1,4072,35.2,GUJARAT,JAMNAGAR, KALAVAD & JAMJODHPUR,DHUN DHORAJI
12943,1,4072,35.2,GUJARAT,JAMNAGAR, KALAVAD & JAMJODHPUR,HAKUMATI
12943,1,4072,35.2,GUJARAT,JAMNAGAR, KALAVAD & JAMJODHPUR, VADALI 
12943,1,4072,35.2,GUJARAT,JAMNAGAR, KALAVAD & JAMJODHPUR, KHIRSARA 
12952,1,,13.7,GUJARAT,JAMNAGAR,,JAMNAGAR
16337,1,,9.6,GUJARAT,JAMNAGAR,,JAMNAGAR
16374,1,,6.65,GUJARAT,JAMNAGAR,,GHANDVI
16374,1,,6.65,GUJARAT,JAMNAGAR,,LAMBA 
16374,1,,6.65,GUJARAT,JAMNAGAR,,KUCHHADI 
16374,1,,6.65,GUJARAT,JAMNAGAR,,OKHAMANDI
16410,0,,3.2,GUJARAT,JAMNAGAR,,LAMBA  
16413,0,,5.2,GUJARAT,JAMNAGAR,,LAMBA
16413,0,,5.2,GUJARAT,JAMNAGAR,,BHOGAT
16414,0,,1.05,GUJARAT,JAMNAGAR,,BHOGAT
16415,0,,2.1,GUJARAT,JAMNAGAR,,BHOGAT
16419,0,,2.4,GUJARAT,JAMNAGAR,,NAVADRA
21017,1,3724,9.6,GUJARAT,JAMNAGAR,KALAVAD ,MOTA PANCHDEVA 
21017,1,3724,9.6,GUJARAT,JAMNAGAR,KALAVAD ,CHHATAR 
21108,1,,9.15,GUJARAT,JAMNAGAR,,LAMBA
23028,1,5112,24.8,GUJARAT,JAMNAGAR,, HARIPAR
23028,1,5112,24.8,GUJARAT,JAMNAGAR,,UMRALA 
23028,1,5112,24.8,GUJARAT,JAMNAGAR,,METHAN
62290,0,,1.25,GUJARAT,JAMNAGAR,,BARADIYA
8819,1,776,8.75,GUJARAT,JAMNAGAR,,BHOGAT
8819,1,776,8.75,GUJARAT,JAMNAGAR,,LAMBA 
8819,1,776,8.75,GUJARAT,JAMNAGAR,,VANKU
9219,1,1856,88.8,GUJARAT,JAMNAGAR,KALVAD ,KALVAD 
9219,1,1856,88.8,GUJARAT,JAMNAGAR,JAMJODHPUR,JAMJODHPUR
9968,1,8442,50.4,GUJARAT,JAMNAGAR,,SADODAR
10889,0,,8,GUJARAT,JAMNAGAR,,JAMNAGAR
12962,1,2925,50.4,GUJARAT,JAMNAGAR,,JAMNAGAR
14717,0,,3.2,GUJARAT,JAMNAGAR,,JAMNAGAR
14728,0,,1.6,GUJARAT,JAMNAGAR,,JAMNAGAR
14729,0,,2.4,GUJARAT,JAMNAGAR,,JAMNAGAR
